Amor I Love You;Marisa Monte (EMI)
Se Eu Não Te Amasse Tanto Assim;Ivete Sangalo (Universal)
Smooth;Santana feat. Rob Thomas (BMG)
Xibom Bombom;As Meninas (Universal)
Tô Te Filmando (Sorria);Os Travessos (Continental)
What A Girl Wants;Christina Aguilera (BMG)
Anna Julia;Los Hermanos (Abril)
Music;Madonna (Warner)
El Arbi;Khaled (Universal)
Minha Razão de Viver;Ara Ketu (Sony)
Maria Maria;Santana feat. The Product G&B (BMG)
Vai Dar Samba;Daniel (Continental)
I Knew I Loved You;Savage Garden (Sony)
Demorô (remix);Hannah Lima (Abril)
Shape Of My Heart;Backstreet Boys (Virgin)
Separação;Casa Nossa (RDS)
A Dor Desse Amor;KLB (Sony)
Papo de Jacaré;P.O. Box (Abril)
Face Oculta;Ara Ketu (Sony)
Show Me The Meaning Of Broken Heart;Backstreet Boys (Virgin)
Pensando em Você;Maurício Manieri (Abril)
Bye Bye Bye;'N Sync (Virgin)
Você Virou Saudade;Só Pra Contrariar (BMG)
I Turn To You;Christina Aguilera (BMG)
Esperando na Janela;Cogumelo Plutão (Universal)
Devolva-me;Adriana Calcanhotto (BMG)
Rock DJ;Robbie Williams (Virgin)
Nada Me Faz Esquecer;Pepê & Neném (Virgin)
Colombina;Ed Motta (Universal)
Holler;Spice Girls (Virgin)
Keep On Movin';Five (BMG)
Morango do Nordeste;Karametade (Sony)
Me Lambe;Raimundos (Warner)
Não Tem Porquê... (Good Bye);É D+ (Atração)
Come On Over Baby (All I Want Is You);Christina Aguilera (BMG)
Deixaria Tudo;Leonardo (BMG)
Perdi Você;Twister (Abril)
Te Quero Tanto;Maurício Manieri (Abril)
Três Lados;Skank (Sony)
Antes de Voltar Pra Casa;Zezé Di Camargo & Luciano (Sony)
Heartbreaker;Mariah Carey feat. Jay-Z (Sony)
I Will Fly With You;Gigi D'Agostino (Building)
História de Amor;Juventude S/A (Atração)
Oops!... I Did It Again;Britney Spears (Virgin)
Balada do Amor Inabalável;Skank (Sony)
If I Let You Go;Westlife (BMG)
Ela Não Está Aqui;KLB (Sony)
Fissuras de Um Casal;Bala, Bombom & Chocolate (Abril)
Simarik;Tarkan (Universal)
Será Que Foi Saudade?;Zezé Di Camargo & Luciano (Sony)
Vem Neném;Harmonia do Samba (Abril)
Popozuda Rock n' Roll;De Falla (Sony)
A Cera (... Me Pirou o Cabeção);O Surto (Virgin)
Banho de Chuveiro;Terra Samba (Universal)
Como Vai Você;Daniela Mercury (BMG)
Meu Querubim;Os Travessos (Continental)
Never Be The Same Again;Melanie C (Virgin)
Coração Vazio;Chitãozinho & Xororó/Reba McEntire (Universal)
Chega de Sofrer;Pique Novo (Paradoxx)
Tele-Fome;Jota Quest (Sony)
Minha Alma (A Paz Que Eu Não Quero);O Rappa (Warner)
Aluga-se;Titãs (Warner)
O Mapa da Mina;Rumbora (Trama)
Vê Se Volta Comigo;Cleiton & Camargo (EMI)
Dizem Que A Felicidade;Art Popular (EMI)
Santa Helena;Daniela Mercury (BMG)
40 Graus;Twister (Abril)
Depois;Pato Fu (BMG)
Você Chegou;LS Jack (Indie)
Hoje a Noite Não Tem Luar;Legião Urbana (EMI)
Lady (Hear Me Tonight);Modjo (Universal)
Primavera;Los Hermanos (Abril)
Ojos Asi;Shakira (Sony)
Tudo Que Vai;Capital Inicial (Abril)
If Only;Hanson (Universal)
(Mucho Mambo) Sway;Shaft (Universal)
You're My #1;Enrique Iglesias/Sandy & Junior (Universal)
Back At One;Brian McKnight & Ivete Sangalo (Universal)
Estare Prendido En Tus Dedos;Skank (Sony)
Tchan na Selva;É o Tchan (Universal)
Primavera (Vai Chuva);Maurício Manieri (Abril)
Sexbomb;Tom Jones with Mousse T. (Roadrunner)
Beautiful Day;U2 (Universal)
O Amor em Pedaços;Rita Lee (Universal)
Da Boca Pra Fora (ao vivo);Zezé Di Camargo & Luciano (Sony)
Shackless (Praise You);Mary Mary (Sony)
Desafio;Belo (EMI)
Vai Pirar;Jigaboo & Charlie Brown Jr. (Virgin)
It's Gonna Be Me;'N Sync (Virgin)
That's The Way It Is;Celine Dion (Sony)
Breathless;The Corrs (Universal)
Tua Boca;Belo (EMI)
Cordeirinho;Os Morenos (Universal)
Amor Selvagem;Zezé Di Camargo & Luciano (Sony)
Against All Odds (Take A Look At Me Now);Mariah Carey (Sony)
Tic-Bom;Bom Balanço (Universal)
Lembrança;Só no Sapatinho (Warner)
Learn To Fly;Foo Fighters (BMG)
Painted On My Heart;The Cult (Universal)
This I Promise You;'N Sync (Virgin)