Little Darling;Lana Bittencourt
Cabecinha no Ombro;Alcides Gerardi
Sereno;Paulo Molin
Ouça;Maysa
Nel Blu Dipinto Di Blu (Volare);Domenico Modugno
Fascinação;Gilberto Alves
Abismo;Anísio Silva
Escultura;Nelson Gonçalves
Love Me Forever;The Playings 
Patricia;Emilinha Borba
Fanzoca do Rádio;Carequinha
Cachito;Nat King Cole
Alone;Lana Bittencourt
O Gondoleiro;Neuza Maria
Covarde;Fernando Barreto
Diana;Paul Anka
Se Todos Fossem Iguais a Você;Agostinho dos Santos
Castigo;Roberto Luna
Moda da Pinga (Marvada Pinga);Inezita Barroso
Babalu;Angela Maria
A Taça do Mundo é Nossa;Coral do Caneco
Balada Triste;Agostinho dos Santos 
O Apito no Samba;Marlene
Linda;Cauby Peixoto
Around The World;Victor Young
Diana;Carlos Gonzaga
Eu Não Existo Sem Você;Maysa
It's Not For Me To Say;Johnny Mathis
Patricia;Perez Prado
Interesseira;Anísio Silva
Marcelino Pão e Vinho;Wilma Bentivegna
Little Darlin';The Diamonds
When;Kalin Twins
Chega de Saudade;João Gilberto
Viva o Meu Samba;Silvio Caldas
Marcha da Fofoca;César de Alencar
Amarras;Oscar Ferreira
An Affair To Remember;Vic Damone
Creio em Ti;Francisco Egydio
Apaixonada;Angela Maria
Tequila;The Champs
Nel Blu Dipinto Di Blu (Volare);Leny Eversong
Matilda;Harry Belafonte
Arrependida;Morgana
Till;Percy Faith 
Balada dos Anjos;Gordon Jenkins
Abandono Cruel;Carlos Augusto
Pensando em Ti;Nelson Gonçalves
Eu Não Existo Sem Você;Carlos José
Long Tall Sally;Little Richard
Calipso Italiano;Renato de Oliveira
Who's Sorry Now;Connie Francis
Balada Triste;Angela Maria
Cansei de Ilusões;Isaura Garcia
Bambina;Francisco Carlos
With All My Heart;Lana Bittencourt
All The Way;Frank Sinatra
Chove Lá Fora;The Platters
Conselho (Summertime);Lana Bittencourt
Bernardine;Pat Boone
Desolação;Agostinho dos Santos
Castigo;Nora Ney
Estrada de Sol;Agostinho dos Santos
Cervezza;Silvio Mazzuca
Bom Que Dói;Marlene
Banana Split;The Playings
Fascination;Jane Morgan
Foi a Noite;Isaura Garcia
Cu-Cu-Ru-Cu-Cu Paloma;Duo Guarujá
Tequila;Silvio Mazzuca
Baiano Burro Nasce Morto;Gordurinha
Fracasso;Dorinha Freitas
Garufa;João Dias
Castigo;Dolores Duran
Casinha Pequenina;Cascatinha & Inhana
Incerteza;Ivete Siqueira
Cacho de Banana;Arrelia & Pimentinha
Serenata do Adeus;Morgana
Crazy Love;Paul Anka
Cabeçinha no Ombro;Duo Guarujá
Baião da Serra Grande;Palmeira & Biá
Lampião de Gás;Inezita Barroso
Forgive Me;Tony Campello
Caruaru;Dalva de Oliveira
Le Gondolier;Franck Pourcel
Meu Anjo Especial;Nilza Miranda
Dobradinho;Luiz Bonfá
Frô do Ipê;Cascatinha & Inhana
Mamãe Eu Levei Bomba;Dircinha Batista
Peanuts;Little Joe
Prece;Agnaldo Rayol
Azul Pintado de Azulo;Roberto Audi & Leny Eversong
Noite Cheia de Estrelas;Poly & Seu Conjunto
Melodia de Amor;Onilda Figueiredo
Mambo Rock;Bill Haley & His Comets
Prece ao Vento;Gilvan Chaves
Guarde a Sandália Dela;Germano Mathias
Garoa;Albertinho Fortuna
Nova Flor (O Homem Não Deve Chorar);Palmeira & Biá
Torero;Hector Lagna Fietta